timestamp,RAD_fr_hip,RAD_fr_knee,RAD_fr_foot,RAD_br_hip,RAD_br_knee,RAD_br_foot,RAD_fl_hip,RAD_fl_knee,RAD_fl_foot,RAD_bl_hip,RAD_bl_knee,RAD_bl_foot,PWM_fr_hip,PWM_fr_knee,PWM_fr_foot,PWM_br_hip,PWM_br_knee,PWM_br_foot,PWM_fl_hip,PWM_fl_knee,PWM_fl_foot,PWM_bl_hip,PWM_bl_knee,PWM_bl_foot,VOLT_fr_hip,VOLT_fr_knee,VOLT_fr_foot,VOLT_br_hip,VOLT_br_knee,VOLT_br_foot,VOLT_fl_hip,VOLT_fl_knee,VOLT_fl_foot,VOLT_bl_hip,VOLT_bl_knee,VOLT_bl_foot
28.5792,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,1.0320,0.9360,0.8800,1.0640,0.8520,0.8820,0.9980,0.9040,1.1300,1.0020,0.8700,0.9340
28.6002,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,1.0220,0.9200,0.9040,1.0580,0.8360,0.8680,0.9920,0.8980,1.1420,0.9920,0.8580,0.9520
28.6211,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,1.0160,0.9080,0.8920,1.0500,0.8200,0.8540,0.9840,0.8940,1.1580,0.9860,0.8420,0.8640
28.6421,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,1.0080,0.8940,0.8520,1.0420,0.8080,0.8360,0.9760,0.9660,1.1280,0.9780,0.8280,0.8740
28.6631,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,1.0000,0.8800,0.8480,1.0340,0.7900,0.8200,0.9680,1.0120,1.0320,0.9740,0.8120,0.8200
28.6841,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,0.9920,0.8660,0.7860,1.0260,0.7760,0.8260,0.9580,1.0020,0.8340,0.9660,0.8740,0.7960
28.7051,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,0.9860,0.8460,0.7700,1.0180,0.7620,0.8740,0.9580,0.9200,0.8140,0.9580,0.9320,0.7700
28.7262,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,0.9780,0.8720,0.7520,1.0100,0.7480,0.8160,0.9560,0.8600,0.7940,0.9500,0.9560,0.7500
28.7473,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,0.9680,0.8200,0.7340,1.0000,0.7320,0.8840,1.0460,0.7760,0.7720,0.9420,0.9400,0.7320
28.7683,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,-0.7853,-1.5707,-1.5707,1050,700,560,1175,600,600,1030,600,600,1060,600,600,0.9620,0.8020,0.7180,0.9940,0.7180,0.7380,1.1340,0.7560,0.7540,0.9360,0.7400,0.7160
